feature,correlation_with_esi,absolute_correlation
age,-0.23658213411743337,0.23658213411743337
triage_vital_o2_device,-0.20895590617531362,0.20895590617531362
triage_vital_o2,0.17785911987427258,0.17785911987427258
cc_chestpain,-0.16432806741705797,0.16432806741705797
cc_shortnessofbreath,-0.15028540087289133,0.15028540087289133
cc_suicidal,-0.1426026756498397,0.1426026756498397
cc_backpain,0.1421400944640275,0.1421400944640275
cc_alcoholintoxication,-0.14212708012950437,0.14212708012950437
cc_rash,0.13369762452826525,0.13369762452826525
cc_alteredmentalstatus,-0.13195837206610064,0.13195837206610064
cc_dentalpain,0.1267204665353747,0.1267204665353747
cc_kneepain,0.11569011902703724,0.11569011902703724
cc_sorethroat,0.10833502710674064,0.10833502710674064
cc_suture/stapleremoval,0.10457684382436763,0.10457684382436763
cc_psychiatricevaluation,-0.10322461237593289,0.10322461237593289
cc_footpain,0.09874898468243162,0.09874898468243162
cc_motorvehiclecrash,0.09533501203231526,0.09533501203231526
triage_vital_rr,-0.09532496575870582,0.09532496575870582
triage_vital_hr,-0.09519068239345778,0.09519068239345778
cc_earpain,0.0926569911914403,0.0926569911914403
cc_medicationrefill,0.08953124530321864,0.08953124530321864
cc_weakness,-0.08067226546595167,0.08067226546595167
triage_glucose,-0.07782395956767327,0.07782395956767327
cc_shoulderpain,0.07767243745198643,0.07767243745198643
cc_laceration,0.07573345724575113,0.07573345724575113
cc_abscess,0.0756223509567465,0.0756223509567465
cc_syncope,-0.07494122295831657,0.07494122295831657
cc_handpain,0.07486611073440093,0.07486611073440093
cc_anklepain,0.07261637050030101,0.07261637050030101
cc_sicklecellpain,-0.06954943787417373,0.06954943787417373
cc_gibleeding,-0.0682875115939672,0.0682875115939672
cc_insectbite,0.0681672266303811,0.0681672266303811
cc_legpain,0.06575380144479245,0.06575380144479245
cc_woundcheck,0.06492904935087253,0.06492904935087253
cc_abnormallab,-0.06492167370972124,0.06492167370972124
cc_neurologicproblem,-0.06279323507721865,0.06279323507721865
cc_skinirritation,0.062305915194044305,0.062305915194044305
cc_neckpain,0.060564894962081235,0.060564894962081235
cc_fingerpain,0.059292096393653404,0.059292096393653404
cc_hypotension,-0.05818387894221619,0.05818387894221619
cc_fingerinjury,0.05741542038019395,0.05741542038019395
cc_drugproblem,-0.056419111415671276,0.056419111415671276
cc_coldlikesymptoms,0.05547221288693788,0.05547221288693788
cc_footinjury,0.0534247856318786,0.0534247856318786
cc_other,0.05341088544025943,0.05341088544025943
cc_strokealert,-0.053156779489727954,0.053156779489727954
cc_skinproblem,0.053000380488557944,0.053000380488557944
cc_eyeproblem,0.052979360995949146,0.052979360995949146
cc_cough,0.05286460865867138,0.05286460865867138
cc_armpain,0.0524097339515349,0.0524097339515349
cc_wristpain,0.05216670995922085,0.05216670995922085
cc_alcoholproblem,-0.05206695958664294,0.05206695958664294
cc_toepain,0.05152469903625802,0.05152469903625802
cc_extremitylaceration,0.05145934719592975,0.05145934719592975
cc_lethargy,-0.050981479625056635,0.050981479625056635
cc_eyepain,0.0508922671039064,0.0508922671039064
cc_ankleinjury,0.05081832856003074,0.05081832856003074
cc_depression,-0.04927618161296807,0.04927618161296807
cc_dyspnea,-0.049161628175886436,0.049161628175886436
cc_poisoning,-0.04763456676809053,0.04763456676809053
triage_vital_dbp,0.04646771124989334,0.04646771124989334
cc_cyst,0.045417128785199934,0.045417128785199934
cc_dizziness,-0.045087565034605856,0.045087565034605856
cc_uri,0.04419601580454175,0.04419601580454175
cc_elevatedbloodsugar-symptomatic,-0.04396632638415197,0.04396632638415197
cc_handinjury,0.04380803115917485,0.04380803115917485
cc_fever-9weeksto74years,-0.043484467760070714,0.043484467760070714
cc_woundre-evaluation,0.043239199472097825,0.043239199472097825
cc_hippain,0.04294285630137549,0.04294285630137549
cc_fever-75yearsorolder,-0.042829239453801564,0.042829239453801564
cc_breathingdifficulty,-0.042282235233966625,0.042282235233966625
cc_feverimmunocompromised,-0.041916654395502774,0.041916654395502774
cc_animalbite,0.04190298813993582,0.04190298813993582
cc_stdcheck,0.04098860767777817,0.04098860767777817
cc_tachycardia,-0.04038854514263763,0.04038854514263763
cc_withdrawal-alcohol,-0.039722722194658756,0.039722722194658756
cc_nasalcongestion,0.03963929888548479,0.03963929888548479
cc_decreasedbloodsugar-symptomatic,-0.03932412228157504,0.03932412228157504
cc_hallucinations,-0.03818867053188645,0.03818867053188645
cc_eyeredness,0.038020667069501184,0.038020667069501184
cc_palpitations,-0.03789819545755728,0.03789819545755728
cc_conjunctivitis,0.03766997807876093,0.03766997807876093
cc_overdose-intentional,-0.03713491503339328,0.03713491503339328
cc_facialpain,0.03662689704840563,0.03662689704840563
cc_hypertension,-0.03627121294499456,0.03627121294499456
cc_nearsyncope,-0.036181434124767424,0.036181434124767424
cc_toeinjury,0.03590136693367214,0.03590136693367214
cc_sinusproblem,0.035191732541024624,0.035191732541024624
cc_elbowpain,0.03518144992261721,0.03518144992261721
cc_confusion,-0.0348558336697827,0.0348558336697827
cc_kneeinjury,0.03452409953417728,0.03452409953417728
cc_seizure-priorhxof,-0.033224844493417546,0.033224844493417546
cc_tickremoval,0.033096310213795346,0.033096310213795346
cc_medicalscreening,0.03289617548150702,0.03289617548150702
cc_drug/alcoholassessment,-0.03217829575897273,0.03217829575897273
cc_otalgia,0.03215146249525521,0.03215146249525521
cc_femaleguproblem,0.03136849280850468,0.03136849280850468
cc_fatigue,-0.0312820193397307,0.0312820193397307
cc_psychoticsymptoms,-0.03076516284707792,0.03076516284707792
cc_thumbinjury,0.030505547780985184,0.030505547780985184
cc_unresponsive,-0.02955222870569249,0.02955222870569249
cc_homicidal,-0.02955187254654343,0.02955187254654343
cc_medicationproblem,0.02932459054752904,0.02932459054752904
cc_seizure-newonset,-0.027526384476995937,0.027526384476995937
cc_arminjury,0.02702543723619763,0.02702543723619763
cc_burn,0.026402614539795994,0.026402614539795994
cc_earproblem,0.025766999981407916,0.025766999981407916
cc_fingerswelling,0.025652784668477303,0.025652784668477303
cc_irregularheartbeat,-0.025548633733339713,0.025548633733339713
cc_detoxevaluation,-0.02551598864150052,0.02551598864150052
cc_foreignbodyineye,0.025312483171732406,0.025312483171732406
cc_urinarytractinfection,0.025085502016243766,0.025085502016243766
cc_lossofconsciousness,-0.025014194286004272,0.025014194286004272
cc_emesis,-0.024964817514747734,0.024964817514747734
cc_mass,0.024705538777469036,0.024705538777469036
cc_leginjury,0.024520340533082958,0.024520340533082958
cc_wristinjury,0.024222335901031698,0.024222335901031698
cc_abdominalpain,-0.02381966596781786,0.02381966596781786
cc_elevatedbloodsugar-nosymptoms,-0.023808245514907424,0.023808245514907424
cc_faciallaceration,0.023204524127840957,0.023204524127840957
cc_vaginaldischarge,0.02294907532276078,0.02294907532276078
cc_giproblem,-0.022574645061445107,0.022574645061445107
cc_dysuria,0.022289171427758797,0.022289171427758797
triage_vital_temp,-0.021819525903143906,0.021819525903143906
cc_respiratorydistress,-0.021672543602006034,0.021672543602006034
cc_eyeinjury,0.0216284173188889,0.0216284173188889
cc_generalizedbodyaches,0.0214269471754429,0.0214269471754429
cc_modifiedtrauma,-0.021304089798582223,0.021304089798582223
cc_shoulderinjury,0.02130163832501884,0.02130163832501884
cc_headinjury,0.021268534893110234,0.021268534893110234
cc_rapidheartrate,-0.020930268205861927,0.020930268205861927
cc_fall>65,-0.02084878578380001,0.02084878578380001
cc_facialinjury,0.020392780902651998,0.020392780902651998
cc_jointswelling,0.020111086884385555,0.020111086884385555
cc_ribinjury,0.019909735597341337,0.019909735597341337
cc_facialswelling,0.019696947681860345,0.019696947681860345
cc_hemoptysis,-0.019514450815019065,0.019514450815019065
cc_agitation,-0.019514450815018826,0.019514450815018826
cc_headache-newonsetornewsymptoms,-0.019319903195918243,0.019319903195918243
cc_asthma,0.018370435893060064,0.018370435893060064
cc_exposuretostd,0.018217871235754305,0.018217871235754305
