Rank,Mean Validation Macro F1,Validation F1 Standard Deviation,Mean Training Macro F1,Mean Fit Time (s),Trees,Maximum Depth,Minimum Leaf Size,Features per Split
1,0.2878599847068191,0.0019753425964325567,0.760856229789653,39.0716327826182,200,,8,
2,0.2860690588953429,0.0007162465250213148,0.7241480562973494,27.32100256284078,400,,8,sqrt
3,0.28546941277458093,0.0015583846704428775,0.708647631903176,34.89630651473999,200,16,1,
4,0.256824200938301,0.006192297123017377,0.4210870924032078,42.00721867879232,400,10,8,
5,0.25571017550871206,0.0023973408568727316,0.4892873143543182,8.396369377772013,200,10,1,log2
6,0.25501240690270355,0.004959881037989445,0.4362563977154658,10.261234601338705,100,10,4,
7,0.2526906431734098,0.0013560258304409249,0.9999906617099755,32.42454719543457,300,,1,log2
8,0.2186713147947755,0.01035725396746373,0.2862432554096422,2.162700573603312,100,6,8,log2
